Población;Zona Tarifaria;Sector
Garraf (Sitges);2;A
La Garriga;4;F
Gavà;1;
Gelida;3;B
Gironella;7;E
Gisclareny;7;F
Gombrèn;7;H
Gósol;7;F
La Granada;4;B
Granera;4;F
Granollers;3;D
Guardiola de Berguedà;7;F
Guixers;7;D
Gurb;6;F
Gualba;4;G
L'Hospitalet de Llobregat;1;
Els Hostalets de Pierola;4;C
Hostalric;5;G
Igualada;6;B
Jorba;6;B
La Llacuna;5;C
Lladurs;7;D
La Llagosta;2;D
Llanars;7;H
Lliçà d'Amunt;3;D
Lliçà de Vall;3;D
Llinars del Vallès;3;D
Llobera;7;C
les Llosses;7;G
Lluçà;6;H
Maçanet de la Selva;6;G
Malgrat de Mar;5;H
Malla;5;F
Manlleu;6;H
Manresa;6;D
Marganell;5;E
Martorell;3;B
Martorelles;2;D
Les Masies de Roda;6;F
Les Masies de Voltregà;6;H
El Masnou;2;E
Masquefa;4;C
Massanes;6;G
Matadepera;3;C
Mataró;3;E
Mediona;4;B
Moià;5;F
Molins de Rei;2;B
Mollet del Vallès;2;D
Molló;7;H
la Molsosa;7;C
Monistrol de Calders;6;E
Monistrol de Montserrat;4;Z
Montcada i Reixac;1;
Montclar;7;E
Montesquiu;6;H
Montgat;1;
Montmajor;7;E
Montmaneu;6;C
Montmeló;2;D
Montornès del Vallès;2;D
Montseny;4;G
Muntanyola;5;F
Mura;5;E
Navarcles;6;D
Navàs;6;E
Navès;7;D
la Nou de Berguedà;7;F
Odèn;7;D
Òdena;6;B
Ogassa;7;H
Olèrdola;4;B
Olesa de Bonesvalls;3;B
Olesa de Montserrat;3;B
Olius;7;C
Olvan;7;E
Olivella;3;A
Olost;6;H
Orís;6;H
Oristà;6;F
Orpí;5;C
Òrrius;3;E
Pacs del Penedès;4;B
Palafolls;5;H
Palau-solità i Plegamans;2;D
Pallejà;2;B
La Palma de Cervelló;2;B
El Papiol;2;B
Pardines;7;H
Parets del Vallès;2;D
Perafita;6;H
Piera;4;C
Pineda de Mar;4;H
Pinell de Solsonès;7;C
Pinós;7;C
El Pla del Penedès;4;B
Planoles;7;H
La Pobla de Claramunt;5;C
la Pobla de Lillet;7;F
Polinyà;2;D
El Pont de Vilomara i Rocafort;5;E
Pontons;4;B
El Prat de Llobregat;1;
Prats de Lluçanès;6;H
Els Prats de Rei;6;C
Premià de Dalt;2;E
Premià de Mar;2;E
Puigdàlber;4;B
Puig-reig;7;E
Pujalt;6;C
la Quar;7;F
Queralbs;7;H
Rajadell;6;E
Rellinars;4;E
Ribes de Freser;7;H
Riells i Viabrea;4;G
Riner;7;C
Ripoll;7;G
Ripollet;2;C
La Roca del Vallès;3;D
Roda de Ter;6;F
Rubí;2;C
Rubió;6;B
Rupit i Pruit;6;H
Sabadell;2;C
Sagas;7;E
Saldes;7;F
Sallent;6;E
Sant Adrià de Besòs;1;
Sant Agustí de Lluçanès;6;H
Sant Andreu de la Barca;2;B
Sant Andreu de Llavaneres;3;E
Sant Antoni de Vilamajor;3;D
Sant Bartomeu del Grau;6;F
Sant Boi de Llobregat;1;
Sant Boi de Lluçanès;6;H
Sant Cebrià de Vallalta;4;H
Sant Celoni;4;G
Sant Climent de Llobregat;2;B
Sant Cugat del Vallès;2;C
Sant Cugat Sesgarrigues;4;B
Sant Esteve de Palautordera;4;G
Sant Esteve Sesrovires;3;B
Sant Feliu de Codines;4;F
Sant Feliu de Llobregat;1;
Sant Feliu Sasserra;6;E
Sant Fost de Campsentelles;2;D
Sant Fruitós de Bages;6;D
Sant Hipòlit de Voltregà;6;H
Sant Iscle de Vallalta;4;H
Sant Jaume de Frontanyà;7;F
Sant Joan de les Abadesses;7;G
Sant Joan de Vilatorrada;6;D
Sant Joan Despí;1;
Sant Julià de Cerdanyola;7;F
Sant Julià de Vilatorta;6;F
Sant Just Desvern;1;
Sant Llorenç d'Hortons;3;B
Sant Llorenç de Morunys;7;D
Sant Llorenç Savall;3;C
Sant Martí d'Albars;6;H
Sant Martí de Centelles;4;F
Sant Martí de Tous;6;B
Sant Martí Sarroca;4;B
Sant Martí Sesgueioles;6;C
Sant Mateu de Bages;6;E
Sant Pau de Segúries;7;H
Sant Pere de Ribes;3;A
Sant Pere de Riudebitlles;4;B
Sant Pere de Torelló;6;H
Sant Pere Sallavinera;6;C
Sant Pere de Vilamajor;4;G
Sant Pol de Mar;4;H
Sant Quintí de Mediona;4;B
Sant Quirze de Besora;6;H
Sant Quirze del Vallès;2;C
Sant Quirze Safaja;4;F
Sant Sadurní d'Anoia;3;B
Sant Sadurní d'Osormort;6;F
Sant Salvador de Guardiola;6;E
Sant Vicenç de Castellet;5;E
Sant Vicenç de Montalt;3;E
Sant Vicenç de Torelló;6;H
Sant Vicenç dels Horts;2;B
Santa Coloma de Cervelló;2;B
Santa Coloma de Gramenet;1;
Santa Cecilia de Voltregà;6;H
Santa Eugènia de Berga;6;F
Santa Eulàlia de Riuprimer;6;F
Santa Eulàlia de Ronçana;3;D
Santa Fe del Penedès;4;B
Santa Margarida de Montbui;6;B
Santa Margarida i els Monjos;4;B
Santa Maria de Besora;6;H
Santa Maria de Martorelles;2;D
Santa Maria de Merlès;7;E
Santa Maria de Miralles;5;C
Santa Maria d'Oló;6;E
Santa Maria de Palautordera;4;G
Santa Oliva;5B
Santa Perpètua de Mogoda;2;D
Santa Susanna;5;H
Santpedor;6;D
Sentmenat;3;D
Setcases;7;H
Seva;5;F
Sitges;3;A
Sobremunt;6;H
Solsona;7;C
Sora;6;H
Subirats;3;B
Súria;6;E
Tagamanent;4;F
Talamanca;5;E
Taradell;5;F
Tavèrnoles;6;F
Tavertet;6;H
Teià;2;E
Terrassa;3;C
Tiana;1;
Tona;5;F
Torà;7;C
Tordera;5;H
Torelló;6;H
La Torre de Claramunt;5;C
Torrelavit;4;B
Torrelles de Foix;4;B
Torrelles de Llobregat;2;B
Toses;7;H
Ullastrell;3;C
Vacarisses;4;E
Vallbona d'Anoia;5;C
Vallcebre;7;F
Vallfogona de Ripollès;7;G
Vallgorguina;4;G
Vallirana;2;B
Vallromanes;2;D
Veciana;6;C
El Vendrell;6;A
Vic;6;F
Vidrà;6;H
Vilada;7;F
Viladecans;1;
Viladecavalls;3;C
Viladrau;5;F
Vilafranca del Penedès;4;B
Vilalba Sasserra;4;G
Vilallonga de Ter;7;H
Vilanova de Sau;6;F
Vilanova del Camí;6;B
Vilanova del Vallès;3;D
Vilanova i la Geltrú;4;A
Vilassar de Dalt;2;E
Vilassar de Mar;2;E
Vilobí del Penedès;4;B
Viver i Serrateix;7;E
